categoria,nombre,direccion,url,precio,precio_2,rating
tour-de-vuelo,✈ Bautismo de vuelo: autogiro para una o dos personas,"Aeródromo de Casarrubios, Navalcarnero",https://www.groupon.es/deals/gyroclub-la-cierva-aeroaventura,49.95,,4.2
day-spa,Sesiones de spa de 2 horas con opción de masaje de 20 m...,"Isaac Albeniz, 18, Majadahonda",https://www.groupon.es/deals/las-rejas-open-club-21,49.9,,4.2
day-spa,❃Circuito Spa ilimitado para 1 o 2 personas de hasta 12...,"Av. del Plantío, 11, Coslada",https://www.groupon.es/deals/spa-forus-coslada,16.99,,4
day-spa,❤ Acceso a circuito spa para 2 personas con masaje (has...,"Calle de Castrojeriz, 9, Madrid",https://www.groupon.es/deals/aquabody-wellness-spa-3,44.9,,4.4
day-spa,♥ Circuito de spa o bañera de hidromasaje para 1 o 2 pe...,"Paseo del Prado, 7, Valdemoro",https://www.groupon.es/deals/aquaspa-valdemoro-1,69,,5
day-spa,"Circuito spa para 2 personas con bañera de hidromasaje,...","Calle del Dr. Fleming, 60 B, Madrid",https://www.groupon.es/deals/spa-privado-madrid-5,64.99,,4.6
day-spa,Acceso a circuito de spa para dos con opción a masaje r...,"Calle Campo Real, 11 (posterior), Alcalá de Henares",https://www.groupon.es/deals/be-well-organic-spa-6,16.95,,2.7
day-spa,Masaje relajante para dos con opción a sauna y bañera d...,"C/ del Capitán Haya, 43, Madrid",https://www.groupon.es/deals/caroli-health-club-melia-castilla-7,99,,4.8
day-spa,San ValentÌn:ÄAcceso a circuito de spa para 1 persona c...,"C/ Campo Real, 11 (posterior), Alcalá De Henares",https://www.groupon.es/deals/be-well-organic-spa-11,39.99,,2.7
day-spa,Circuito spa y masaje relajante para 1 o 2 personas en...,"Calle Imperial 8, Madrid",https://www.groupon.es/deals/pestana-spa-4-1,49.9,,4
day-spa,"Circuito de spa privado para 2 con jacuzzi, sauna y bot...","Calle del Dr. Fleming, 60 B, Madrid",https://www.groupon.es/deals/spa-privado-madrid-4,79.99,,4.6
